Kmeans,cluster
YDL226C,2
YJL121C,2
YGR185C,2
YDR331W,2
YGR037C,2
YCR065W,2
YBR252W,2
YER070W,2
YER023W,2
YDL164C,2
YPL127C,2
YOR375C,2
YDL198C,2
YDL229W,2
YDR188W,2
YDR189W,2
YPL028W,2
YDL052C,2
YGL027C,2
YGL200C,2
YER136W,2
YKL184W,2
YOR103C,2
YGR040W,2
YDR047W,2
YKL114C,2
YCL050C,2
YOR014W,2
YLR256W,2
YBL005W,2
YJR028W,2
YER172C,2
YGR112W,2
YKL074C,2
YBL066C,2
YFR037C,2
YMR043W,2
YFL045C,2
YEL002C,2
YBL091C,2
YBR171W,2
YGL100W,2
YML012W,2
YPL218W,2
YPR183W,2
YDR353W,2
YJL101C,2
YPL010W,2
YOR198C,2
YLR066W,2
YNL079C,2
YIL138C,2
YDL066W,2
YCL030C,2
YOR327C,2
YER145C,2
YMR058W,2
YPR086W,2
YMR070W,2
YGL167C,2
YGR175C,2
YOR047C,2
YIL009W,2
YBR145W,2
YDR483W,2
YER057C,2
YLR056W,2
YDR502C,2
YAL012W,2
YGL137W,2
YLR429W,2
YBR196C,2
YGR191W,2
YMR300C,2
YGL234W,2
YAR015W,2
YNL220W,2
YBR248C,2
YGR147C,2
YFR009W,2
YJL054W,2
YDR050C,2
YCR012W,2
YJR009C,2
YHR174W,2
YKL060C,2
YPR074C,2
YLR134W,2
YGR087C,2
YLR044C,2
YAL038W,2
YGL253W,2
YER090W,2
YGL245W,2
YJR075W,2
YGR124W,2
YPR145W,2
YGL202W,2
YNL287W,2
YLR420W,2
YDR226W,2
YIL043C,2
YBR078W,2
YLR300W,2
YMR303C,2
YOL086C,2
YPL061W,2
YEL036C,2
YDR232W,2
YDR072C,2
YIL022W,2
YDL004W,2
YGL115W,2
YIL123W,2
YGL207W,2
YMR287C,2
YGL130W,2
YKL127W,2
YBR118W,2
YLR071C,2
YGR157W,2
YDL202W,2
YDL084W,2
YKL180W,2
YDL137W,2
YDL192W,2
YDL184C,2
YMR260C,2
YGR234W,2
YOR210W,2
YDR194C,2
YDR002W,2
YDR381W,2
YBR288C,2
YML008C,2
YMR202W,2
YML126C,2
YGL012W,2
YGL225W,2
YJR143C,2
YDR212W,2
YIL142W,2
YBR106W,2
YGL097W,2
YHR013C,2
YNL151C,2
YMR235C,2
YDR211W,2
YNL261W,2
YPR060C,2
YNR052C,2
YDR484W,2
YBR090C-A,2
YBR010W,2
YNL031C,2
YNL030W,2
YBR009C,2
YDR224C,2
YBL003C,2
YDR225W,2
YBL002W,2
YER009W,2
YML019W,2
YNR028W,2
YEL031W,2
YGL058W,2
YDL131W,2
YDL182W,2
YDR172W,2
YLR138W,2
YBR069C,2
YFL022C,2
YBR092C,2
YHR128W,2
YLR244C,2
YER086W,2
YBR249C,2
YMR243C,2
YDR454C,2
YCR034W,2
YEL042W,2
YDR062W,2
YJR007W,2
YER025W,2
YER165W,2
YOL021C,2
YOL130W,2
YHR215W,2
YAR071W,2
YJR016C,2
YLR355C,2
YLR335W,2
YLR098C,2
YGL008C,2
YML123C,2
YJL133W,2
YOL140W,2
YGL105W,2
YEL009C,2
YGL070C,2
YDL014W,2
YDR341C,2
YDR120C,2
YBR142W,2
YNL112W,2
YAL059W,2
YKL216W,2
YDR023W,2
YDL153C,2
YBR154C,2
YDR087C,2
YOR340C,2
YPR190C,2
YPR110C,2
YGL078C,2
YCL054W,2
YGL169W,2
YJL033W,2
YHR069C,2
YOR095C,2
YML022W,2
YDR399W,2
YIR012W,2
YOR224C,2
YNL209W,2
YMR217W,2
YBR121C,2
YLR249W,2
YHR216W,2
YHL011C,2
YBL039C,2
YKL181W,2
YPL266W,2
YPL211W,2
YLR197W,2
YOR310C,2
YNL113W,2
YLL011W,2
YKL009W,2
YNL248C,2
YGR159C,2
YHR170W,2
YLR009W,2
YAL025C,2
YBR247C,2
YMR309C,2
YLR449W,2
YNL141W,2
YLR180W,2
YJL050W,2
YKR024C,2
YGL120C,2
YNL061W,2
YKL191W,2
YGR083C,2
YPR187W,2
YOL139C,2
YDR429C,2
YPL237W,2
YMR146C,2
YML106W,2
YIL078W,2
YBR048W,2
YDR450W,2
YHL033C,2
YBR189W,2
YBR191W,2
YBL087C,2
YHL001W,2
YDR385W,2
YOR133W,2
YPL037C,2
YAL003W,2
YOR167C,2
YKL081W,2
YJL138C,2
YKR059W,2
YHR019C,2
YER102W,2
YJL191W,2
YJL190C,2
YLR264W,2
YMR121C,2
YLR029C,2
YDR500C,2
YDR025W,2
YGR027C,2
YDL083C,2
YOR182C,2
YJL189W,2
YDR447C,2
YKR094C,2
YIL148W,2
YBL072C,2
YLR388W,2
YDL061C,2
YLR167W,2
YLR333C,2
YOR369C,2
YGL030W,2
YLR367W,2
YPL090C,2
YPL081W,2
YGL076C,2
YBR084C-A,2
YBL027W,2
YJL136C,2
YKR057W,2
YLR185W,2
YER074W,2
YOR096W,2
YPL198W,2
YLR448W,2
YOR234C,2
YNL178W,2
YBR181C,2
YOL121C,2
YLL045C,2
YGR214W,2
YLR048W,2
YNL301C,2
YJR145C,2
YHR203C,2
YJR123W,2
YJL177W,2
YOL040C,2
YDR418W,2
YNL069C,2
YPL131W,2
YIL018W,2
YHL015W,2
YIL133C,2
YER131W,2
YGL189C,2
YGR085C,2
YPR102C,2
YIL052C,2
YPR132W,2
YGR118W,2
YGR148C,2
YML063W,2
YLR441C,2
YGL031C,2
YLR325C,2
YKL006W,2
YLR075W,2
YOR293W,2
YIL069C,2
YHR141C,2
YDL082W,2
YGR034W,2
YPL143W,2
YLR061W,2
YOR312C,2
YDR471W,2
YNL162W,2
YPL079W,2
YNL067W,2
YPR043W,2
YMR242C,2
YNL302C,2
YGL123W,2
YGL103W,2
YGL135W,2
YPL220W,2
YEL054C,2
YOL127W,2
YGL147C,2
YDR064W,2
YHR010W,2
YER117W,2
YOR063W,2
YDL075W,2
YOL120C,2
YCR031C,2
YOL039W,2
YOR276W,2
YDR012W,2
YBR031W,2
YLR340W,2
YDL081C,2
YDR382W,2
YBL092W,2
YKL156W,2
YDL130W,2
YNL247W,2
YOR168W,2
YHR064C,2
YLR172C,2
YHR193C,2
YDL191W,2
YGR063C,2
YDR397C,2
YNR003C,2
YLR017W,2
YKR026C,2
YLR146C,2
YKL212W,2
YNR043W,2
YCR053W,2
YOR260W,2
YPR033C,2
YLR060W,2
YGR155W,2
YFL002C,2
YOR341W,2
YBR079C,2
