SOM,cluster
YER145C,0
YMR058W,0
YGL255W,0
YIL009W,0
YLR056W,0
YDR502C,0
YAL012W,0
YMR300C,0
YGL234W,0
YAR015W,0
YLR359W,0
YNL220W,0
YKR080W,0
YBR248C,0
YOR299W,0
YOR209C,0
YOR079C,0
YKR061W,0
YDR050C,0
YKL152C,0
YCR012W,0
YGR192C,0
YJR009C,0
YHR174W,0
YKL060C,0
YPR074C,0
YLR134W,0
YGR087C,0
YLR044C,0
YAL038W,0
YOR344C,0
YGR240C,0
YLR153C,0
YGL245W,0
YGR124W,0
YPR145W,0
YLR420W,0
YDR226W,0
YBR078W,0
YLR300W,0
YML115C,0
YAL040C,0
YKL185W,0
YKL180W,0
YDL184C,0
YGR234W,0
YOR210W,0
YBR069C,0
YPR035W,0
YBR249C,0
YLR355C,0
YGL008C,0
YML123C,0
YNL112W,0
YAL059W,0
YKL216W,0
YNL282W,0
YDR023W,0
YDL153C,0
YBR154C,0
YDR087C,0
YJL148W,0
YOR340C,0
YPR110C,0
YGL078C,0
YCL054W,0
YPL043W,0
YLL008W,0
YGL171W,0
YJL033W,0
YOR361C,0
YOR001W,0
YOR095C,0
YML022W,0
YDR399W,0
YIR012W,0
YNR038W,0
YBR143C,0
YOR224C,0
YNL209W,0
YMR217W,0
YBR121C,0
YLR249W,0
YHR216W,0
YJR063W,0
YHL011C,0
YBL039C,0
YKL181W,0
YPL266W,0
YPL211W,0
YLR197W,0
YHR089C,0
YOR310C,0
YNL113W,0
YLL011W,0
YKL009W,0
YNL248C,0
YGR159C,0
YHR170W,0
YLR009W,0
YNL002C,0
YAL025C,0
YBR247C,0
YMR309C,0
YLR449W,0
YNL141W,0
YLR180W,0
YMR308C,0
YKR024C,0
YGL120C,0
YNL061W,0
YKL191W,0
YBR034C,0
YNL062C,0
YOR272W,0
YHR066W,0
YPR187W,0
YOL139C,0
YDR429C,0
YPL237W,0
YMR146C,0
YML106W,0
YBR048W,0
YDR450W,0
YHL033C,0
YBR189W,0
YBR191W,0
YBL087C,0
YHL001W,0
YDR385W,0
YOR133W,0
YPL037C,0
YAL003W,0
YOR167C,0
YKL081W,0
YJL138C,0
YKR059W,0
YHR019C,0
YER102W,0
YJL191W,0
YJL190C,0
YLR264W,0
YMR121C,0
YLR029C,0
YDR500C,0
YDR025W,0
YGR027C,0
YDL083C,0
YOR182C,0
YJL189W,0
YDR447C,0
YKR094C,0
YIL148W,0
YBL072C,0
YLR388W,0
YDL061C,0
YLR167W,0
YLR333C,0
YOR369C,0
YGL030W,0
YLR367W,0
YPL090C,0
YPL081W,0
YGL076C,0
YBR084C-A,0
YBL027W,0
YJL136C,0
YKR057W,0
YLR185W,0
YER074W,0
YOR096W,0
YPL198W,0
YLR448W,0
YOR234C,0
YNL178W,0
YBR181C,0
YOL121C,0
YLL045C,0
YGR214W,0
YLR048W,0
YNL301C,0
YJR145C,0
YHR203C,0
YJR123W,0
YJL177W,0
YOL040C,0
YDR418W,0
YNL069C,0
YPL131W,0
YIL018W,0
YHL015W,0
YIL133C,0
YER131W,0
YGL189C,0
YGR085C,0
YPR102C,0
YIL052C,0
YPR132W,0
YGR118W,0
YGR148C,0
YML063W,0
YLR441C,0
YGL031C,0
YLR325C,0
YKL006W,0
YLR075W,0
YOR293W,0
YIL069C,0
YHR141C,0
YDL082W,0
YGR034W,0
YPL143W,0
YLR061W,0
YOR312C,0
YDR471W,0
YNL096C,0
YNL162W,0
YPL079W,0
YNL067W,0
YPR043W,0
YMR242C,0
YNL302C,0
YGL123W,0
YGL103W,0
YGL135W,0
YPL220W,0
YEL054C,0
YOL127W,0
YGL147C,0
YDR064W,0
YHR010W,0
YER117W,0
YOR063W,0
YDL075W,0
YOL120C,0
YCR031C,0
YOL039W,0
YOR276W,0
YDR012W,0
YBR031W,0
YLR340W,0
YDL081C,0
YDR382W,0
YLR344W,0
YBL092W,0
YKL156W,0
YDL130W,0
YNL247W,0
YOR168W,0
YHR064C,0
YLR172C,0
YHR193C,0
YHR021C,0
YDL191W,0
YDL136W,0
YDR397C,0
YPL117C,0
YIL035C,0
YLR083C,0
YER110C,0
YPR033C,0
YDR299W,0
YOR207C,0
YKR092C,0
YMR229C,0
YBR079C,0
YGR061C,0
YGR162W,0
YCL037C,0
YDR037W,0
YBL068W,0
YJL208C,0
YDR184C,0
YLR293C,0
YER043C,0
YML074C,0
YPR163C,0
YPR080W,0
YOR184W,0
YMR199W,0
