GMM,cluster
YBL014C,0
YKL045W,0
YPR026W,0
YCR011C,0
YCR075C,0
YGL125W,0
YGL073W,0
YGL142C,0
YER142C,0
YNL142W,0
YIR032C,0
YFL021W,0
YDL229W,0
YBR085W,0
YFL018C,0
YER178W,0
YBR035C,0
YDR188W,0
YDR498C,0
YPR129W,0
YML007W,0
YDR284C,0
YLR166C,0
YJR035W,0
YDR268W,0
YGR080W,0
YDL052C,0
YAL023C,0
YGL027C,0
YGR040W,0
YOR014W,0
YGR254W,0
YNR030W,0
YGR112W,0
YBL066C,0
YGL237C,0
YLR148W,0
YGL044C,0
YMR043W,0
YNL280C,0
YOL147C,0
YGR009C,0
YGL038C,0
YFL048C,0
YBL091C,0
YMR236W,0
YOR288C,0
YPL094C,0
YDR304C,0
YBR279W,0
YOR198C,0
YGR207C,0
YGR167W,0
YIL138C,0
YKL019W,0
YLR354C,0
YHR043C,0
YHR044C,0
YLR200W,0
YDL029W,0
YIL062C,0
YOR002W,0
YDL066W,0
YHR103W,0
YPR055W,0
YOR329C,0
YBR021W,0
YDL185W,0
YPR005C,0
YBR083W,0
YBR067C,0
YBR117C,0
YNL009W,0
YJR095W,0
YNL117W,0
YKL217W,0
YNL052W,0
YKR097W,0
YLR377C,0
YJL172W,0
YHR028C,0
YDR462W,0
YOL116W,0
YPL118W,0
YOR327C,0
YJR052W,0
YGL018C,0
YNL199C,0
YLR348C,0
YJL042W,0
YLR436C,0
YJR113C,0
YML010W,0
YPR024W,0
YIR006C,0
YNL243W,0
YKL210W,0
YOL066C,0
YCR092C,0
YCL018W,0
YDR069C,0
YBR058C,0
YER145C,0
YIL134W,0
YGL166W,0
YDR088C,0
YGL119W,0
YHR163W,0
YGR261C,0
YCR052W,0
YCR048W,0
YPR086W,0
YPL057C,0
YOR348C,0
YMR070W,0
YOR028C,0
YGL026C,0
YGR175C,0
YGR030C,0
YIR021W,0
YLR147C,0
YML015C,0
YLR067C,0
YPR186C,0
YLR277C,0
YJL209W,0
YMR268C,0
YOR047C,0
YOR211C,0
YLL036C,0
YLR139C,0
YPL046C,0
YJL129C,0
YNL139C,0
YDL195W,0
YDL145C,0
YPL195W,0
YDR007W,0
YHR058C,0
YKL020C,0
YDL140C,0
YPR189W,0
YDL138W,0
YCR050C,0
YBR295W,0
YDR170C,0
YDR351W,0
YDR011W,0
YAL041W,0
YOR363C,0
YBL074C,0
YGL092W,0
YLR442C,0
YMR036C,0
YHR091C,0
YIL128W,0
YNL236W,0
YIR023W,0
YGR056W,0
YNR016C,0
YHR042W,0
YNL167C,0
YMR275C,0
YKL079W,0
YBL061C,0
YPR052C,0
YGL151W,0
YMR205C,0
YBR036C,0
YBR145W,0
YER057C,0
YLR056W,0
YJR040W,0
YDR502C,0
YAL012W,0
YNR041C,0
YBR222C,0
YGR204W,0
YLR028C,0
YDR155C,0
YJR059W,0
YPL076W,0
YLR039C,0
YFL058W,0
YMR182C,0
YMR164C,0
YKL198C,0
YJR062C,0
YNL093W,0
YIL156W,0
YOR274W,0
YIL084C,0
YGR006W,0
YMR271C,0
YDR125C,0
YER061C,0
YAL015C,0
YOR219C,0
YLR369W,0
YMR021C,0
YOR035C,0
YCL051W,0
YPL270W,0
YAL016W,0
YJL154C,0
YKL213C,0
YIL034C,0
YNR035C,0
YMR092C,0
YPL224C,0
YOR160W,0
YPL106C,0
YMR238W,0
YJL110C,0
YHR079C,0
YKL017C,0
YGL137W,0
YLR429W,0
YKR080W,0
YGR075C,0
YDR497C,0
YGL077C,0
YOR128C,0
YPL259C,0
YDR073W,0
YDL234C,0
YPL097W,0
YGL049C,0
YPL104W,0
YNR033W,0
YJL165C,0
YDR129C,0
YOR036W,0
YOR069W,0
YOR018W,0
YOR141C,0
YKL012W,0
YHR024C,0
YKL060C,0
YLR134W,0
YGR087C,0
YGL253W,0
YGR240C,0
YLR153C,0
YML078W,0
YMR083W,0
YGR282C,0
YJL026W,0
YFL039C,0
YML115C,0
YMR303C,0
YOL086C,0
YDR123C,0
YGR166W,0
